ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-11-04,12012106100.040457,7880703698.30662,19424917586.419106,12012106100.040457,12012106100.040457,1449985007.2864594,1449985007.2864594,1449985007.2864594,2132986054.760308,2132986054.760308,2132986054.760308,-507539372.76116323,-507539372.76116323,-507539372.76116323,-175461674.71268547,-175461674.71268547,-175461674.71268547,0.0,0.0,0.0,13462091107.326916
2020-11-05,12004825175.095568,7530659250.440931,19607694754.34585,12004825175.095568,12004825175.095568,1734448634.92878,1734448634.92878,1734448634.92878,2132986054.760308,2132986054.760308,2132986054.760308,-153732355.90445277,-153732355.90445277,-153732355.90445277,-244805063.92707515,-244805063.92707515,-244805063.92707515,0.0,0.0,0.0,13739273810.024347
2020-11-06,11997544250.150679,9707384509.550707,20555948487.159485,11997544250.150679,11997544250.150679,3156481992.2198486,3156481992.2198486,3156481992.2198486,2132986054.760308,2132986054.760308,2132986054.760308,1358968902.0547416,1358968902.0547416,1358968902.0547416,-335472964.59520096,-335472964.59520096,-335472964.59520096,0.0,0.0,0.0,15154026242.370527
2020-11-09,11975701475.31601,7863852268.903528,19386590829.195667,11975701475.31601,11975701475.31601,1560767858.6048598,1560767858.6048598,1560767858.6048598,2132986054.760308,2132986054.760308,2132986054.760308,142761004.01564634,142761004.01564634,142761004.01564634,-714979200.1710947,-714979200.1710947,-714979200.1710947,0.0,0.0,0.0,13536469333.92087
2020-11-10,11968420550.37112,7224179911.537935,18824038480.31118,11968420550.37112,11968420550.37112,957863763.8590199,957863763.8590199,957863763.8590199,2132986054.760308,2132986054.760308,2132986054.760308,-307212085.63528126,-307212085.63528126,-307212085.63528126,-867910205.266007,-867910205.266007,-867910205.266007,0.0,0.0,0.0,12926284314.23014
2020-11-11,11961139625.426231,6639824557.313816,18641227391.262203,11961139625.426231,11961139625.426231,597205795.6562345,597205795.6562345,597205795.6562345,2132986054.760308,2132986054.760308,2132986054.760308,-507539372.76064104,-507539372.76064104,-507539372.76064104,-1028240886.3434327,-1028240886.3434327,-1028240886.3434327,0.0,0.0,0.0,12558345421.082466
2020-11-12,11953858700.48134,6858007188.435155,18446948084.704357,11953858700.48134,11953858700.48134,787294236.6413653,787294236.6413653,787294236.6413653,2132986054.760308,2132986054.760308,2132986054.760308,-153732355.90279385,-153732355.90279385,-153732355.90279385,-1191959462.2161489,-1191959462.2161489,-1191959462.2161489,0.0,0.0,0.0,12741152937.122705
2020-11-13,11946577775.536451,8285265228.093443,19612550663.82519,11946577775.536451,11946577775.536451,2137133144.5726554,2137133144.5726554,2137133144.5726554,2132986054.760308,2132986054.760308,2132986054.760308,1358968902.0557377,1358968902.0557377,1358968902.0557377,-1354821812.2433906,-1354821812.2433906,-1354821812.2433906,0.0,0.0,0.0,14083710920.109106
2020-11-16,11924735000.701782,6828854137.475548,18388506132.555134,11924735000.701782,11924735000.701782,481377749.9101656,481377749.9101656,481377749.9101656,2132986054.760308,2132986054.760308,2132986054.760308,142761004.01384932,142761004.01384932,142761004.01384932,-1794369308.8639917,-1794369308.8639917,-1794369308.8639917,0.0,0.0,0.0,12406112750.611948
2020-11-17,11917454075.756893,5970050468.169537,17807912598.295452,11917454075.756893,11917454075.756893,-84361991.2234116,-84361991.2234116,-84361991.2234116,2132986054.760308,2132986054.760308,2132986054.760308,-307212085.6365355,-307212085.6365355,-307212085.6365355,-1910135960.347184,-1910135960.347184,-1910135960.347184,0.0,0.0,0.0,11833092084.533482
