Date,Close,Volume,CashInflow
,DHER.DE,DHER.DE,
2021-02-03,131.64999389648438,517666,68150725.74041748
2021-02-04,129.5500030517578,772274,100048099.05679321
2021-02-05,131.8000030517578,435891,57450435.130233765
2021-02-08,129.8000030517578,425939,55286883.49986267
2021-02-09,133.3000030517578,510255,68016993.05717468
2021-02-10,129.35000610351562,514421,66540359.48977661
2021-02-11,131.0,279105,36562755.0
2021-02-12,131.6999969482422,321992,42406345.4173584
2021-02-15,130.8000030517578,323593,42325965.387527466
2021-02-16,129.1999969482422,437560,56532750.66467285
2021-02-17,124.0,676709,83911916.0
2021-02-18,121.80000305175781,498132,60672479.12017822
2021-02-19,121.69999694824219,650226,79132502.21566772
2021-02-22,113.44999694824219,929674,105471512.4628601
2021-02-23,112.5,1001255,112641187.5
2021-02-24,109.0999984741211,644418,70306002.81669617
2021-02-25,108.44999694824219,847834,91947594.71261597
2021-02-26,105.69999694824219,734844,77673008.55743408
2021-03-01,108.4000015258789,751684,81482546.74697876
2021-03-02,105.94999694824219,586866,62178450.9090271
2021-03-03,101.94999694824219,836421,85273118.39744568
2021-03-04,103.3499984741211,927913,95899807.13411713
2021-03-05,103.0999984741211,1027697,105955559.13185883
2021-03-08,102.3499984741211,884317,90509843.60063934
2021-03-09,107.0999984741211,1227676,131484097.72671509
2021-03-10,103.8499984741211,1180996,122646432.79794312
2021-03-11,107.9000015258789,722288,77934876.30212402
2021-03-12,103.80000305175781,639766,66407712.75241089
2021-03-15,104.80000305175781,476677,49955751.05470276
2021-03-16,108.0,745876,80554608.0
2021-03-17,104.55000305175781,614501,64246081.42530823
2021-03-18,105.5,733757,77411363.5
2021-03-19,110.25,2522920,278151930.0
2021-03-22,111.9000015258789,724950,81121906.10618591
2021-03-23,112.5,650301,73158862.5
2021-03-24,109.25,571293,62413760.25
2021-03-25,107.4000015258789,635767,68281376.77010345
2021-03-26,111.0,438514,48675054.0
2021-03-29,108.19999694824219,689833,74639928.49479675
2021-03-30,109.44999694824219,565902,61937972.17300415
2021-03-31,110.5,838442,92647841.0
2021-04-01,114.75,680168,78049278.0
2021-04-06,113.3499984741211,442245,50128470.07518768
2021-04-07,113.9000015258789,483032,55017345.53704834
2021-04-08,116.75,482392,56319266.0
2021-04-09,119.80000305175781,559249,66998031.906692505
2021-04-12,120.25,554950,66732737.5
2021-04-13,124.25,662294,82290029.5
2021-04-14,124.9000015258789,495448,61881455.95599365
2021-04-15,127.0,481446,61143642.0
2021-04-16,128.4499969482422,692741,88982579.33592224
2021-04-19,130.9499969482422,539021,70584798.30503845
2021-04-20,128.75,638282,82178807.5
2021-04-21,126.8499984741211,507947,64433076.17493439
2021-04-22,128.14999389648438,508338,65143511.597351074
2021-04-23,129.9499969482422,263590,34253519.69558716
2021-04-26,130.64999389648438,450362,58839792.551208496
2021-04-27,128.0500030517578,497171,63662748.06724548
2021-04-28,140.0500030517578,1387485,194317278.4842682
2021-04-29,135.75,841907,114288875.25
2021-04-30,132.0500030517578,672841,88848656.10334778
2021-05-03,131.8000030517578,336067,44293631.62559509
2021-05-04,127.9000015258789,580443,74238660.58568573
2021-05-05,122.5,1338589,163977152.5
2021-05-06,120.8499984741211,813882,98357638.45811462
2021-05-07,125.25,784913,98310353.25
2021-05-10,117.55000305175781,573051,67362146.79881287
2021-05-11,113.94999694824219,879453,100213666.66612244
2021-05-12,106.9000015258789,1261956,134903098.32559204
2021-05-13,106.69999694824219,741442,79111859.13729858
2021-05-14,104.75,1013925,106208643.75
2021-05-17,103.3499984741211,653387,67527545.45301056
2021-05-18,105.9000015258789,1280564,135611729.5539856
2021-05-19,102.1500015258789,721556,73706946.50100708
2021-05-20,105.6500015258789,538306,56872029.72138977
2021-05-21,104.19999694824219,597647,62274815.5761261
2021-05-25,109.44999694824219,742092,81221967.13531494
2021-05-26,110.30000305175781,560936,61871242.51184082
2021-05-27,109.55000305175781,2717393,297690411.4428253
2021-05-28,111.25,331330,36860462.5
2021-05-31,112.5,249772,28099350.0
2021-06-01,113.4000015258789,476679,54055399.32735443
2021-06-02,110.6500015258789,501220,55459993.764801025
2021-06-03,109.0,419500,45725500.0
2021-06-04,111.1500015258789,539154,59926967.922683716
2021-06-07,110.8499984741211,374463,41509222.97861481
2021-06-08,112.25,330925,37146331.25
